,production_budget,worldwide_gross
324,3250000,6965361
325,5000000,3707583
326,17000000,26918576
327,46000000,4408636
328,12000000,84970337
329,8000000,20036244
330,14000000,125212904
331,2500000,14400000
332,10500000,792965326
333,1200000,255000
334,12500000,20959585
335,15000000,177200000
336,400000,126387
337,10100000,10143618
338,12000000,74433837
339,10000000,25697647
340,5952000,2120439
341,7000000,201463574
342,5000000,12232628
343,375000,29400000
344,32500000,572705079
345,39000000,59950623
346,10000000,29500000
347,36000000,160000000
348,15000000,61400000
349,7000000,1246141
350,1305000,909000
351,25000000,44942821
352,15000000,8921050
353,27500000,187500000
354,27000000,21500000
355,10000000,20766000
356,8000000,589308
357,12000000,39012241
358,3250000,20605209
359,30000000,5564014
360,18000000,87000000
361,1500000,2300000
362,8200000,80000000
363,9000000,13075390
364,4500000,81198894
365,2600000,32980880
366,550000,5269990
367,15000000,316300000
368,28000000,333080271
369,8000000,90815558
370,18000000,26400000
371,27000000,21300000
372,30000000,295212467
373,11000000,148168459
374,25000000,5778353
375,1250000,4700000
376,8000000,62599495
377,7500000,5142858
378,1800000,25504513
379,18000000,51973029
380,10000000,8801940
381,6400000,78019031
382,15000000,15136870
383,48000000,25928721
384,45000000,27447471
385,27500000,27187653
386,3000000,21163999
387,1500000,2730877
388,19000000,385524862
389,1300000,210904
390,10000000,33000000
391,2200000,21930418
392,10000000,35073978
393,18000000,19739000
394,44000000,300400000
395,30000000,152627960
396,2000000,1663296
397,27000000,10618813
398,25000000,11603545
399,17900000,6905861
400,6900000,41410568
401,3500000,34004262
402,12000000,65532576
403,4000000,14237880
404,10000000,17536256
405,26000000,33200000
406,10000000,36230219
407,3000000,11052713
408,7000000,10803211
409,20000000,18400000
410,31000000,258210860
411,15000000,93589701
412,15000000,9930649
413,40000000,6341825
414,25000000,11100000
415,30000000,16295774
416,3000000,19472057
417,15000000,1953732
418,18000000,6734844
419,35000000,2000000
420,5000000,12947763
421,25000000,23506237
422,4500000,1500000
423,18000000,1305114
424,15000000,356800601
425,12000000,4984663
426,40000000,49851591
427,16000000,12900000
428,3000000,20966644
429,17000000,183316455
430,8000000,52287414
431,175000,7137502
432,4700000,8025872
433,17000000,2315000
434,8800000,328203506
435,18000000,41382841
436,10000000,52293000
437,24000000,133000000
438,12000000,79817937
439,30000000,38747385
440,6000000,137963328
441,2000000,7369373
442,2600000,3147950
443,350000,4000000
444,100000,5228617
445,10000000,3000000
446,3500000,14000000
447,16000000,14792779
448,5000000,44793222
449,25000000,76270454
450,3500000,5923044
451,4000000,800000
452,1100000,1355728
453,40000000,14375181
454,20000000,276665036
455,15000000,120192350
456,29000000,25899797
457,22700000,38119483
458,23000000,15728335
459,13000000,53424681
460,17000000,11227824
461,6500000,54215416
462,40000000,191200000
463,8500000,32222567
464,1900000,4600000
465,14000000,320100000
466,1000000,14564000
467,15000000,30857000
468,16500000,43848100
469,30000000,38122000
470,25000000,43988888
471,3000000,7888000
472,15000000,167780960
473,18000000,98267558
474,13000000,123922370
475,25000000,16118077
476,5000000,17768757
477,4000000,3468572
478,6200000,9205924
479,1500000,11806119
480,18000000,151668774
481,15000000,73326666
482,4000000,354704
483,4000000,13000000
484,4700000,1705139
485,2800000,19170001
486,58000000,188715611
487,14000000,239606210
488,70000000,351500000
489,28000000,139109346
490,30000000,81613606
491,3000000,7282851
492,13000000,49369899
493,9000000,44196684
494,16000000,13854000
495,15000000,216600000
496,9500000,14114000
497,6000000,12793213
498,12300000,81972846
499,32000000,59450353
500,7000000,20257000
501,6000000,14545844
502,13000000,44726644
503,7000000,8373585
504,25000000,412800000
505,14000000,34700000
506,15000000,10763469
507,16400000,239500000
508,10000000,40485039
509,18000000,7190505
510,1200000,36741667
511,11500000,57469179
512,10000000,30050028
513,48000000,474171806
514,35000000,411348924
515,6000000,26004026
516,11000000,49793054
517,42000000,156167015
518,16000000,92961960
519,5000000,6157157
520,5000000,14343976
521,1500000,14533681
522,9000000,10176701
523,30000000,70200000
524,70000000,54243125
525,19000000,58571513
526,30000000,45892212
527,6000000,11642254
528,6000000,22168359
529,30000000,95857262
530,40000000,332000000
531,18000000,26593580
532,7500000,106593296
533,20000000,10555348
534,14000000,70001698
535,140000,6706368
536,55000000,63408614
537,1600000,419428
538,65000000,261400000
539,10000000,16667084
540,30000000,200500000
541,7700000,882290
542,70000000,239814025
543,10000000,16153000
544,430000,2938000
545,14000000,432645872
546,13500000,202000000
547,3000000,15000000
548,40000000,244088654
549,50000000,41476097
550,47000000,162738726
551,60000000,157670733
552,20000000,53976987
553,22000000,517600000
554,31000000,53208180
555,19000000,424200000
556,13000000,34166572
557,25000000,46777347
558,7000000,4372561
559,26000000,61308153
560,20000000,21413105
561,4200000,5835247
562,49000000,20423389
563,15000000,476684675
564,35000000,54768418
565,26000000,202000000
566,54000000,66520529
567,11000000,2000000
568,8000000,2275557
569,500000,55000
570,450000,2712293
571,40000000,34416893
572,8500000,15024232
573,35000,321952
574,23000,1227508
575,35000000,14471440
576,14000000,34729091
577,100000000,513815401
578,20000000,275726716
579,25000000,78656813
580,25000000,9286314
581,65000000,17218916
582,27000000,96900000
583,50000000,390500000
584,23000000,86930411
585,20000000,37537675
586,7000000,5017971
587,23000000,7018525
588,6000000,773490
589,16000000,29090445
590,5000000,34872033
591,24000000,41798224
592,2500000,6401336
593,7000000,8824553
594,5000000,19438638
595,9000000,349618
596,70000000,300854823
597,20000000,451329842
598,35000000,182291969
599,30000000,191502246
600,16500000,58011485
601,24000000,83531958
602,6500000,56200634
603,40000000,205400000
604,30000000,74787599
605,11000000,81204830
606,7000000,5430822
607,42000000,131052444
608,40000000,132440066
609,42000000,66787173
610,10000000,50752337
